language,feature,human_mean,machine_mean,diff,p_value,sig
sepedi,ttr,0.807,0.6538,-0.1532,8.71e-118,***
sepedi,mean_word_len,4.4024,4.0534,-0.349,2.58e-71,***
sepedi,sent_count,1.2304,2.1199,0.8895,2.82e-187,***
sepedi,punct_density,0.0158,0.0165,0.0007,2.25e-21,***
sepedi,word_count,33.3053,59.672,26.3666,5.45e-86,***
swahili,ttr,0.9396,0.8874,-0.0522,2.58e-38,***
swahili,mean_word_len,5.5243,5.5639,0.0397,4.70e-03,**
swahili,sent_count,1.0,1.6622,0.6622,4.88e-306,***
swahili,punct_density,0.0,0.0169,0.0169,0.00e+00,***
swahili,word_count,16.9483,30.92,13.9717,4.25e-60,***
xhosa,ttr,0.9831,0.901,-0.0821,5.20e-173,***
xhosa,mean_word_len,7.9046,8.0487,0.1441,3.74e-05,***
xhosa,sent_count,1.2244,2.368,1.1436,3.80e-238,***
xhosa,punct_density,0.0161,0.0178,0.0017,8.31e-33,***
xhosa,word_count,19.2822,36.2025,16.9202,2.92e-103,***
zulu,ttr,0.9823,0.8957,-0.0866,1.20e-183,***
zulu,mean_word_len,8.0718,8.0807,0.0089,7.21e-01,ns
zulu,sent_count,1.2302,2.1593,0.9291,1.81e-165,***
zulu,punct_density,0.0157,0.0167,0.0011,1.22e-14,***
zulu,word_count,19.003,35.5487,16.5457,1.79e-98,***
